"","site","vol"
"MNI-097_0.5km","MNI-097_0.5km","9737.2306875"
"MNI-098_0.5km","MNI-098_0.5km","907339.16266875"
"MNI-099_0.5km","MNI-099_0.5km","1587314.15067625"
"MNI-100_0.5km","MNI-100_0.5km","560233.790175"
"MNI-101_0.5km","MNI-101_0.5km","313638.55012125"
"MNI-102_0.5km","MNI-102_0.5km","1285337.770905"
"MNI-103_0.5km","MNI-103_0.5km","426900.8022"
"MNI-104_0.5km","MNI-104_0.5km","1688448.19837875"
"MNI-105_0.5km","MNI-105_0.5km","789328.3795875"
"MNI-106_0.5km","MNI-106_0.5km","722975.51607"
"MNI-107_0.5km","MNI-107_0.5km","1075068.57789"
"MNI-108_0.5km","MNI-108_0.5km","1858283.6222175"
"MNI-109_0.5km","MNI-109_0.5km","290566.26799125"
"MNI-113_0.5km","MNI-113_0.5km","1427150.7865875"
"MNI-114_0.5km","MNI-114_0.5km","106345.29453"
"MNI-115_0.5km","MNI-115_0.5km","1723080.94605167"
"MNI-116_0.5km","MNI-116_0.5km","324950.11029"
"MNI-117_0.5km","MNI-117_0.5km","594776.91866625"
"MNI-118_0.5km","MNI-118_0.5km","904736.19001375"
"MNI-119_0.5km","MNI-119_0.5km","462390.307965"
"MNI-120_0.5km","MNI-120_0.5km","1052786.69516625"
"MNI-121_0.5km","MNI-121_0.5km","2253730.7636569"
"MNI-122_0.5km","MNI-122_0.5km","2152337.28163875"
"MNI-123_0.5km","MNI-123_0.5km","10707.07735875"
"MNI-124_0.5km","MNI-124_0.5km","672999.76672875"
"MNI-125_0.5km","MNI-125_0.5km","928821.05924625"
"MNI-126_0.5km","MNI-126_0.5km","735796.13492625"
"MNI-127_0.5km","MNI-127_0.5km","2604896.55774"
"MNI-128_0.5km","MNI-128_0.5km","140180.1315375"
"MNI-129_0.5km","MNI-129_0.5km","913466.32417875"
"MNI-130_0.5km","MNI-130_0.5km","243222.98160375"
"MNI-131_0.5km","MNI-131_0.5km","85483.71209625"
"MNI-132_0.5km","MNI-132_0.5km","771561.50808"
"MNI-133_0.5km","MNI-133_0.5km","771561.50808"
"MNI-134_0.5km","MNI-134_0.5km","1396141.9045202"
"MNI-135_0.5km","MNI-135_0.5km","996928.278765"
"MNI-136_0.5km","MNI-136_0.5km","138273.796845"
"MNI-137_0.5km","MNI-137_0.5km","302503.55887125"
"MNI-138_0.5km","MNI-138_0.5km","1701009.3161925"
"MNI-139_0.5km","MNI-139_0.5km","393400.1912925"
"MNI-140_0.5km","MNI-140_0.5km","1841130.21950332"
"MNI-141_0.5km","MNI-141_0.5km","1405945.71406875"
